screen_id,usability,layout_quality,visual_complexity,screen_mean
52214,2.8,3.1,3.5,3.13
17476,2.5,2.8,2.2,2.5
1165,2.8,3.15,3.5,3.15
59041,3.2,3.5,2.8,3.17
2844,3.5,3.8,3.2,3.5
26390,2.5,2.8,2.2,2.5
24971,3.5,3.8,2.2,3.17
19321,3.5,3.8,2.2,3.17
58713,3.8,4.2,2.5,3.5
16870,3.5,3.8,2.2,3.17
54764,2.5,2.3,3.1,2.63
58988,3.5,3.8,2.7,3.33
68868,3.5,3.8,2.7,3.33
46124,3.5,3.25,2.75,3.17
15815,3.2,3.0,2.5,2.9
48987,2.5,2.8,1.9,2.4
38037,2.8,3.1,3.5,3.13
12105,3.5,3.8,2.2,3.17
1197,2.5,2.8,1.9,2.4
16286,2.5,2.0,1.5,2.0
24676,2.8,3.1,3.5,3.13
2560,3.2,3.5,2.1,2.93
43510,2.5,3.0,2.2,2.57
4972,2.5,2.8,3.1,2.8
11742,4.2,4.0,2.5,3.57
47138,2.8,3.1,1.9,2.6
2336,2.5,3.0,2.0,2.5
57382,3.6,3.8,2.5,3.3
52984,4.2,3.8,1.5,3.17
56432,4.2,4.0,2.1,3.43
46098,3.5,3.25,2.0,2.92
37888,2.8,3.1,3.5,3.13
24791,2.5,2.2,3.0,2.57
39834,2.5,2.8,2.2,2.5
48913,3.2,3.5,3.0,3.23
28655,3.5,3.25,2.75,3.17
63417,3.6,3.8,2.5,3.3
67317,3.5,3.0,3.25,3.25
10418,2.5,2.3,2.0,2.27
60148,3.2,3.5,2.8,3.17
63171,4.2,4.0,2.5,3.57
20767,2.5,3.0,3.2,2.9
56231,2.5,3.0,2.2,2.57
3808,3.2,3.5,2.1,2.93
32799,3.8,4.0,2.5,3.43
28634,2.5,2.0,2.2,2.23
20505,3.5,3.2,2.8,3.17
24466,3.2,3.5,2.1,2.93
8102,3.5,3.8,3.2,3.5
60444,2.5,2.8,3.2,2.83
32555,3.8,4.0,2.5,3.43
16853,3.25,3.0,2.5,2.92
16226,2.5,2.8,3.1,2.8
35308,2.5,3.0,2.2,2.57
16480,2.5,3.0,1.5,2.33
3400,2.5,2.8,3.2,2.83
65930,3.2,3.5,2.8,3.17
33029,3.5,3.25,2.75,3.17
49832,3.2,3.5,2.8,3.17
27726,2.5,2.8,4.2,3.17
63252,2.5,3.0,1.8,2.43
12896,2.5,3.0,2.1,2.53
58264,3.2,3.5,2.8,3.17
40482,2.5,3.0,3.2,2.9
4555,3.5,3.25,2.75,3.17
18361,3.2,3.5,2.8,3.17
911,3.5,3.2,4.0,3.57
7079,2.5,2.2,3.0,2.57
35220,3.5,3.8,2.2,3.17
15280,3.5,3.25,2.75,3.17
46547,2.8,3.2,3.5,3.17
29617,2.5,2.8,2.2,2.5
64763,3.5,3.25,2.75,3.17
51510,2.8,3.1,3.5,3.13
50826,3.5,3.8,2.2,3.17
68408,3.5,3.2,2.0,2.9
66845,3.2,3.5,2.8,3.17
34176,3.25,3.5,2.1,2.95
48130,3.2,3.5,2.8,3.17
22954,2.5,2.3,3.1,2.63
56632,3.2,3.5,2.8,3.17
14665,3.5,3.25,2.75,3.17
13049,3.8,4.2,2.5,3.5
53758,2.5,2.8,3.2,2.83
25264,3.5,3.8,2.2,3.17
6107,3.2,3.5,2.8,3.17
29381,3.5,3.8,2.7,3.33
9905,3.5,3.25,2.0,2.92
15340,3.8,3.5,2.2,3.17
66436,3.5,3.8,2.2,3.17
25609,2.5,3.0,2.75,2.75
67140,3.5,3.8,2.2,3.17
16753,3.5,3.8,2.2,3.17
3532,3.5,3.2,2.8,3.17
28641,2.8,3.1,2.5,2.8
40118,2.5,2.8,1.7,2.33
51983,2.1,2.3,3.5,2.63
65057,2.8,3.1,2.5,2.8
34368,3.5,3.25,2.75,3.17
20968,2.5,2.8,3.2,2.83
34706,2.5,3.0,2.2,2.57
3375,2.5,3.0,2.2,2.57
24058,2.1,2.3,3.8,2.73
54358,2.5,3.0,2.75,2.75
27880,3.2,3.8,2.5,3.17
56461,3.5,3.25,2.0,2.92
71744,2.8,3.2,2.5,2.83
55214,2.5,3.0,1.8,2.43
52874,3.5,3.8,2.2,3.17
14790,3.2,3.0,2.5,2.9
50219,2.8,3.1,2.3,2.73
5194,3.25,3.5,2.75,3.17
21568,3.25,3.5,2.75,3.17
45392,3.5,3.25,2.75,3.17
58223,2.5,3.0,2.2,2.57
26385,3.2,3.5,2.8,3.17
21012,2.8,3.1,3.5,3.13
40664,4.5,4.2,2.1,3.6
3528,3.8,4.2,2.5,3.5
28107,3.2,3.5,2.8,3.17
70985,2.5,2.8,2.2,2.5
52267,3.5,3.8,2.7,3.33
55555,2.5,2.8,3.2,2.83
46858,3.8,3.9,2.5,3.4
24742,2.8,3.1,2.5,2.8
55294,2.8,3.1,2.5,2.8
31727,3.5,3.8,2.2,3.17
65628,3.2,3.5,2.8,3.17
60766,4.2,4.0,2.5,3.57
61284,2.8,3.1,2.5,2.8
13729,3.2,3.5,2.8,3.17
25333,4.5,3.8,2.2,3.5
64256,3.5,3.0,1.5,2.67
12124,2.5,2.8,3.2,2.83
63120,3.5,3.25,2.75,3.17
31053,3.5,3.25,2.0,2.92
36688,3.5,3.8,2.2,3.17
27926,2.5,3.0,4.2,3.23
14426,4.2,4.0,2.5,3.57
24148,3.2,3.5,2.8,3.17
70167,2.5,2.8,2.2,2.5
7224,2.5,2.0,1.5,2.0
47510,3.5,3.8,2.7,3.33
67764,2.1,2.3,3.8,2.73
5750,3.25,3.0,3.75,3.33
30999,2.5,3.0,1.5,2.33
24252,3.2,3.5,2.8,3.17
53347,2.5,3.0,2.75,2.75
43113,3.2,3.5,2.8,3.17
36338,2.5,3.0,3.2,2.9
6836,3.5,3.8,2.2,3.17
7027,3.5,3.25,2.0,2.92
52498,3.2,2.8,3.5,3.17
40447,3.2,3.0,2.5,2.9
19589,3.2,3.5,2.8,3.17
27748,4.5,4.25,2.75,3.83
19327,2.5,2.8,3.2,2.83
26498,2.5,2.8,2.2,2.5
59269,3.5,3.0,2.0,2.83
47149,3.2,3.5,2.8,3.17
4572,2.5,3.0,1.5,2.33
27614,3.2,3.5,2.8,3.17
59392,2.5,2.3,2.0,2.27
48628,2.5,3.0,1.8,2.43
38465,3.2,3.5,2.1,2.93
69226,3.2,3.5,2.1,2.93
48551,2.8,3.1,3.5,3.13
36583,2.5,2.8,3.2,2.83
34197,3.5,3.25,2.75,3.17
24725,2.5,2.0,1.5,2.0
19243,4.2,4.0,2.5,3.57
43780,3.5,3.25,2.75,3.17
42764,2.5,3.0,2.75,2.75
16102,2.5,2.8,2.2,2.5
59946,2.8,3.1,3.5,3.13
13128,3.5,3.8,2.2,3.17
66790,2.5,2.0,1.5,2.0
17370,3.5,3.8,2.7,3.33
20314,3.5,3.25,2.75,3.17
51437,3.2,3.5,2.8,3.17
20787,2.5,2.8,3.7,3.0
62285,3.2,3.5,2.1,2.93
54995,3.2,3.5,2.1,2.93
38051,2.5,2.2,3.8,2.83
49356,2.1,2.5,1.8,2.13
14255,2.8,3.1,3.5,3.13
35616,3.5,3.25,2.75,3.17
35410,3.5,3.25,2.75,3.17
49325,3.5,3.2,2.8,3.17
41043,3.8,4.0,2.5,3.43
45014,3.2,3.8,2.5,3.17
26807,2.5,2.2,4.1,2.93
8987,3.8,4.2,2.5,3.5
4662,3.5,3.8,2.2,3.17
66769,2.5,3.0,2.2,2.57
