screen_id,usability,layout_quality,visual_complexity,screen_mean
52214,5.0,3.27,3.85,4.04
17476,3.8,1.89,3.25,2.98
1165,4.4,3.44,2.91,3.5833
59041,4.7,3.31,3.7,3.9033
2844,3.21,2.31,3.63,3.05
26390,5.0,3.25,2.94,3.73
24971,5.0,3.03,3.61,3.88
19321,5.0,3.25,3.28,3.8433
58713,4.4,3.6,2.79,3.5967
16870,3.87,3.42,3.29,3.5267
54764,4.55,3.4,3.2,3.7167
58988,4.04,2.74,3.55,3.4433
68868,3.66,2.32,4.08,3.3533
46124,5.0,3.13,3.07,3.7333
15815,4.64,3.25,3.09,3.66
48987,5.0,3.11,3.1,3.7367
38037,3.44,2.31,5.0,3.5833
12105,4.4,3.08,3.65,3.71
1197,5.0,3.19,3.8,3.9967
16286,3.8,1.67,3.81,3.0933
24676,2.9,2.41,3.35,2.8867
2560,5.0,3.47,3.29,3.92
43510,5.0,3.23,3.27,3.8333
4972,5.0,3.56,3.24,3.9333
11742,4.64,3.57,4.16,4.1233
47138,4.1,2.57,3.39,3.3533
2336,5.0,3.42,3.24,3.8867
57382,3.84,2.74,3.78,3.4533
52984,5.0,3.53,3.22,3.9167
56432,5.0,3.55,3.41,3.9867
46098,3.11,2.31,3.87,3.0967
37888,5.0,3.18,3.28,3.82
24791,5.0,3.48,3.36,3.9467
39834,5.0,3.2,2.96,3.72
48913,2.9,2.27,4.3,3.1567
28655,5.0,3.32,3.44,3.92
63417,5.0,3.31,3.41,3.9067
67317,5.0,3.4,3.0,3.8
10418,5.0,3.58,3.85,4.1433
60148,3.21,2.09,3.87,3.0567
63171,4.4,3.6,2.79,3.5967
20767,5.0,3.44,3.16,3.8667
56231,3.02,2.37,3.38,2.9233
3808,5.0,3.51,3.4,3.97
32799,4.41,3.33,3.93,3.89
28634,5.0,3.51,3.02,3.8433
20505,5.0,3.46,3.33,3.93
24466,5.0,3.28,3.35,3.8767
8102,3.54,2.74,4.49,3.59
60444,3.06,2.09,3.93,3.0267
32555,5.0,3.56,4.12,4.2267
16853,4.52,3.2,3.62,3.78
16226,5.0,3.13,3.26,3.7967
35308,4.17,3.14,3.73,3.68
16480,5.0,3.37,3.05,3.8067
3400,4.34,3.1,3.91,3.7833
65930,5.0,3.41,3.3,3.9033
33029,4.04,2.74,4.05,3.61
49832,5.0,3.35,3.78,4.0433
27726,5.0,3.53,3.16,3.8967
63252,4.1,2.35,3.21,3.22
12896,3.35,2.33,3.59,3.09
58264,5.0,3.44,3.09,3.8433
40482,5.0,3.6,2.77,3.79
4555,4.47,3.39,3.78,3.88
18361,4.7,3.01,3.05,3.5867
911,4.1,3.16,2.84,3.3667
7079,5.0,3.19,3.19,3.7933
35220,5.0,3.32,3.17,3.83
15280,3.54,2.34,3.31,3.0633
46547,4.22,3.08,4.69,3.9967
29617,3.27,2.42,3.66,3.1167
64763,4.86,3.25,3.49,3.8667
51510,3.15,2.19,4.76,3.3667
50826,4.86,3.34,3.45,3.8833
68408,5.0,3.55,3.35,3.9667
66845,5.0,3.17,3.15,3.7733
34176,4.86,3.29,3.64,3.93
48130,3.8,1.95,3.62,3.1233
22954,4.7,3.24,3.21,3.7167
56632,3.44,2.31,3.74,3.1633
14665,3.1,2.22,4.07,3.13
13049,3.76,3.25,4.45,3.82
53758,3.5,2.88,2.85,3.0767
25264,5.0,3.57,3.61,4.06
6107,2.99,2.36,4.3,3.2167
29381,4.04,3.08,3.92,3.68
9905,5.0,3.46,3.23,3.8967
15340,3.44,2.25,3.4,3.03
66436,2.84,2.26,4.13,3.0767
25609,5.0,3.25,3.28,3.8433
67140,4.86,3.3,3.15,3.77
16753,5.0,3.6,3.26,3.9533
3532,5.0,3.24,3.19,3.81
28641,5.0,3.54,3.74,4.0933
40118,3.1,2.28,4.12,3.1667
51983,4.7,3.23,3.4,3.7767
65057,5.0,3.54,3.31,3.95
34368,3.44,2.38,3.89,3.2367
20968,3.8,1.98,3.25,3.01
34706,5.0,3.6,3.11,3.9033
3375,5.0,3.46,3.45,3.97
24058,5.0,3.52,3.09,3.87
54358,4.4,3.6,2.77,3.59
27880,5.0,3.0,3.29,3.7633
56461,5.0,3.58,3.78,4.12
