screen_id,category,total_elements,clickable_elements
52214,other,30,4
17476,other,33,7
1165,other,9,1
59041,news,58,4
2844,other,46,13
26390,social,12,2
24971,other,32,2
19321,other,20,5
58713,social,7,1
16870,other,32,12
54764,other,28,11
58988,other,37,10
68868,news,54,8
46124,other,15,2
15815,games,28,10
48987,other,23,3
38037,utility,213,10
12105,other,37,3
1197,utility,58,3
16286,other,42,7
24676,other,33,10
2560,other,21,1
43510,other,19,5
4972,games,32,4
11742,other,84,10
47138,other,32,7
2336,other,32,6
57382,other,50,9
52984,social,19,2
56432,other,28,2
46098,other,60,13
37888,social,20,1
24791,other,45,6
39834,other,14,2
48913,other,104,19
28655,other,20,3
63417,other,34,7
67317,other,7,2
10418,news,57,3
60148,other,49,13
63171,social,7,1
20767,other,18,3
56231,other,47,11
3808,other,49,6
32799,social,82,13
28634,other,15,1
20505,other,20,3
24466,other,22,3
8102,other,97,20
60444,food,55,16
32555,other,64,6
16853,other,45,10
16226,other,18,5
35308,travel,45,12
16480,health,18,2
3400,finance,64,10
65930,other,22,2
33029,other,51,10
49832,other,50,5
27726,other,19,3
63252,other,24,6
12896,other,41,11
58264,games,17,1
40482,other,11,1
4555,other,67,12
18361,other,12,2
911,food,7,2
7079,other,27,5
35220,other,20,4
15280,other,45,9
46547,utility,123,17
29617,travel,71,12
64763,other,36,8
51510,utility,125,14
50826,health,43,8
68408,other,27,2
66845,other,23,7
34176,other,41,8
48130,other,44,7
22954,other,24,5
56632,news,46,10
14665,other,64,15
13049,other,93,18
53758,other,8,3
25264,other,43,3
6107,other,115,18
29381,other,76,10
9905,other,20,3
15340,other,38,10
66436,other,92,29
25609,other,20,5
67140,news,23,8
16753,other,29,1
3532,games,27,5
28641,other,68,3
40118,other,58,15
51983,other,22,5
65057,utility,45,2
34368,other,67,10
20968,other,33,7
34706,other,35,1
3375,other,49,5
24058,other,17,1
54358,other,5,1
27880,other,21,1
56461,other,78,2
71744,health,87,2
55214,social,20,3
52874,other,26,3
14790,other,18,2
50219,other,54,5
5194,other,108,15
21568,other,29,11
45392,other,117,10
58223,other,10,2
26385,health,83,9
21012,other,53,9
40664,other,25,6
3528,other,55,12
28107,other,39,12
70985,other,23,9
52267,other,88,18
55555,other,23,1
46858,social,7,1
24742,food,162,17
55294,other,19,5
31727,other,43,7
65628,other,144,12
60766,other,38,8
61284,other,33,6
13729,other,25,3
25333,travel,11,1
64256,other,10,2
12124,other,55,15
63120,travel,65,4
31053,other,50,20
36688,other,35,3
27926,travel,15,1
14426,other,16,2
24148,other,35,8
70167,utility,30,2
7224,news,14,2
47510,utility,105,9
67764,other,10,1
5750,other,119,5
30999,other,33,5
24252,other,37,3
53347,other,18,5
43113,other,60,25
36338,other,76,1
6836,other,28,2
7027,finance,31,5
52498,other,11,1
40447,other,55,2
19589,other,15,3
27748,other,39,10
19327,other,15,2
26498,other,41,9
59269,other,18,3
47149,other,90,24
4572,utility,14,3
27614,other,57,9
59392,social,25,6
48628,games,34,7
38465,other,71,15
69226,other,27,6
48551,other,76,22
36583,other,89,15
34197,productivity,47,9
24725,other,28,7
19243,utility,35,5
43780,other,13,2
42764,other,26,5
16102,other,22,2
59946,other,72,9
13128,other,8,3
66790,other,20,2
17370,other,61,22
20314,other,92,22
51437,other,47,1
20787,other,44,10
62285,other,33,1
54995,other,24,1
38051,other,19,2
49356,other,12,1
14255,other,118,13
35616,other,66,20
35410,other,11,2
49325,other,23,3
41043,other,46,10
45014,other,68,18
26807,shopping,9,3
8987,other,60,10
4662,other,113,19
66769,other,56,12
72188,other,17,1
10766,news,29,4
5498,other,14,4
57676,other,20,5
17680,social,14,3
55067,other,95,12
68368,other,52,19
45595,other,57,7
59643,social,7,1
27871,other,20,4
60783,other,48,8
52325,other,27,6
32794,shopping,17,2
17494,other,24,4
29637,news,112,14
38915,news,23,4
20679,other,23,2
40137,other,17,3
10194,other,48,7
7890,other,31,3
5776,health,89,14
67727,other,19,3
57608,other,35,4
27653,other,9,1
9035,other,67,9
43196,other,13,1
60343,other,40,7
22064,news,8,1
43656,other,10,1
70129,utility,20,1
17152,social,57,4
67394,utility,43,2
51293,other,67,8
29946,other,24,1
65557,other,37,13
52187,other,32,9
43655,other,8,1
50209,other,8,3
23363,other,31,10
9801,other,24,5
3493,news,66,14
60380,other,41,9
20894,other,37,10
45743,social,6,1
7871,other,111,5
6146,other,25,7
70798,other,29,6
45126,other,37,7
70543,games,47,12
10033,utility,148,6
49515,travel,49,6
31714,other,4,1
42440,other,82,18
11286,other,34,3
17513,other,85,23
71230,utility,86,5
34257,other,37,3
67979,other,70,12
64908,other,18,5
63230,health,28,3
30520,other,88,14
26053,other,25,3
13871,news,34,7
26139,other,52,1
67905,games,49,15
47521,other,22,2
7477,other,23,3
15278,other,21,3
15712,games,6,2
58401,other,35,9
42245,games,41,11
63879,other,24,4
14613,other,43,9
9418,other,54,1
60257,utility,13,1
45295,other,85,15
60597,other,24,4
18417,other,62,10
18579,other,64,1
5366,games,21,1
41533,other,40,7
7470,other,29,7
46393,social,27,7
2114,games,54,1
27758,other,19,3
44929,other,23,10
67512,other,50,9
5003,other,38,4
38113,other,86,28
8539,games,28,6
24203,other,31,2
7122,other,23,8
45739,other,14,2
59915,other,60,15
58276,other,31,6
55664,other,73,8
23515,news,51,10
57165,shopping,43,8
30793,other,94,26
36558,other,114,12
54449,other,82,18
9972,games,51,12
34900,other,21,1
3913,news,75,17
69333,other,88,3
44296,other,59,2
39988,other,8,3
18105,other,29,6
26586,other,21,4
25060,other,19,6
14287,utility,64,13
32645,other,48,2
11384,other,21,4
48854,other,37,9
46660,other,324,73
25402,other,29,6
48862,other,13,2
24779,utility,21,2
10485,other,40,8
14764,other,8,3
56828,other,20,3
51682,other,53,20
13927,other,38,8
25326,other,11,1
145,other,28,5
69686,finance,35,6
12070,other,66,28
667,other,12,2
32158,other,118,9
14754,other,20,6
44089,other,13,2
25968,other,128,26
28678,social,5,1
54284,other,21,7
4221,other,6,1
2436,utility,9,3
45735,shopping,69,16
18838,travel,42,11
57836,social,50,3
71673,other,24,8
68220,other,4,1
47750,news,91,10
48062,other,19,3
41356,utility,42,7
26274,other,40,6
61826,other,17,4
41374,other,42,7
63277,games,63,9
37076,other,37,8
22840,other,42,8
16322,other,42,11
16497,other,43,7
53612,other,55,30
38652,other,29,6
33689,other,36,5
38158,other,13,5
37340,other,33,7
40981,food,67,22
66980,travel,81,8
5822,other,147,13
13618,other,40,24
54561,utility,38,5
53198,other,35,15
52762,food,55,12
16585,productivity,97,53
14043,utility,28,5
36777,other,30,2
58168,utility,272,11
32736,social,7,1
62838,other,18,1
66843,other,36,5
17349,utility,31,3
2663,other,21,3
22912,other,38,6
22829,other,44,9
45553,other,25,4
39792,other,42,10
1936,other,109,16
38034,utility,103,13
22412,games,75,12
28682,other,38,1
40687,other,42,13
267,other,76,10
67642,other,16,1
70847,games,37,7
1505,other,26,14
39454,other,24,6
63315,other,19,5
66807,other,91,12
66476,other,23,7
46441,other,19,4
16555,other,19,5
13358,other,18,3
5312,games,31,4
45822,other,47,3
65189,other,61,13
10976,other,21,2
8859,other,11,2
1626,other,64,15
71042,other,21,3
59810,other,33,7
66006,other,87,23
2586,travel,42,2
2123,other,57,11
37037,travel,8,3
42224,games,59,13
41911,other,125,48
2433,other,22,5
6703,other,19,5
36680,other,78,47
69503,other,22,3
13912,other,28,10
2111,other,29,6
35249,travel,29,5
1013,travel,73,13
36007,other,37,8
27767,other,62,17
7106,social,6,1
61791,other,43,5
61859,other,62,11
40218,other,62,12
29123,utility,8,2
38106,other,27,1
56134,games,60,17
8109,other,29,7
58313,games,71,27
61746,other,9,3
46782,other,19,1
53795,games,17,4
5753,other,34,6
42286,finance,34,9
20465,utility,111,16
22810,other,57,14
29831,other,19,5
24620,other,20,5
883,other,29,6
13903,other,24,6
48264,other,21,4
58669,other,18,1
45923,other,27,6
14063,utility,53,13
59454,other,13,1
30913,other,17,3
13825,other,19,1
1333,other,25,6
48594,other,21,4
41630,other,78,8
43337,other,26,2
70607,other,14,2
66271,games,12,1
45197,other,28,1
20625,other,24,9
13808,other,14,2
8324,utility,57,12
43667,other,65,12
15360,other,21,6
66186,other,37,8
22557,other,39,10
14572,other,41,17
49273,other,62,11
14539,other,20,6
54672,other,51,2
66853,other,22,10
25781,other,40,10
36856,other,84,12
18026,other,15,2
72138,other,55,18
6874,other,23,3
47668,other,42,1
26473,other,47,8
48248,other,68,6
49238,other,34,8
12667,other,40,9
50884,other,61,23
15475,other,17,5
3787,other,109,17
53486,other,75,19
48562,news,10,2
47384,health,78,14
44625,utility,94,6
31107,social,33,2
71607,other,54,7
27492,other,45,3
23711,other,58,15
54328,shopping,85,16
57393,other,24,4
30950,finance,55,14
26008,other,131,13
27791,other,8,2
36347,social,7,1
18748,other,13,4
9690,other,88,25
5272,other,33,8
30037,other,62,14
40349,other,44,7
31096,shopping,19,3
71226,utility,94,11
59706,other,20,4
71688,utility,61,14
14861,other,12,2
1062,social,7,1
40412,other,57,13
51020,other,48,2
47250,other,33,6
16683,news,72,15
14905,social,7,1
45634,other,16,3
24294,other,30,2
43542,other,13,2
9582,finance,57,11
18846,games,14,3
71494,other,104,16
33353,other,139,5
68106,other,21,3
14589,other,44,1
6801,other,22,5
26353,games,90,15
34667,other,96,22
29107,other,19,7
20644,other,46,16
39135,other,76,10
65034,other,45,8
4599,other,16,5
56571,other,57,17
30199,other,22,3
50383,other,21,5
63250,other,26,7
53235,other,62,16
45003,other,18,5
1053,other,54,10
54217,social,7,1
63944,social,6,1
46709,other,68,11
3000,other,93,17
71396,other,61,9
53905,other,18,2
16958,other,22,3
71911,other,27,5
67942,other,20,6
18965,other,88,22
27723,health,28,8
17733,shopping,35,3
68691,food,18,5
17198,other,28,4
59102,other,10,1
9785,other,87,25
20503,other,19,4
28259,other,10,1
2890,other,33,9
49913,other,25,5
24127,games,33,8
57482,other,47,17
3296,other,13,2
23671,utility,27,8
55514,other,19,5
51885,other,12,1
66283,other,54,16
27691,travel,29,9
43514,news,134,36
42435,other,87,13
2679,utility,16,3
69681,utility,75,16
69852,other,16,2
65839,other,32,7
13372,other,54,14
16195,social,7,1
51888,other,42,9
964,other,18,1
64760,other,11,3
28550,other,6,1
12936,other,61,16
10211,other,47,7
32362,other,38,4
60941,other,114,17
18744,other,11,2
5207,games,44,3
27565,news,10,1
20896,travel,15,3
59022,other,75,18
39377,other,63,7
46524,other,45,7
56698,other,40,7
3842,other,37,7
47109,other,77,19
10647,other,52,8
9732,travel,57,10
15037,shopping,84,10
7358,other,17,2
68264,shopping,11,4
55736,social,10,2
69597,other,46,12
20009,other,27,5
46137,other,34,10
12390,travel,21,4
65098,other,18,3
34645,food,49,14
48491,other,51,11
46576,other,87,10
19949,other,33,8
38577,other,65,15
18522,productivity,41,3
12798,games,22,2
30573,other,77,13
34357,other,102,25
69296,other,33,7
71481,other,62,12
6254,other,27,6
9053,shopping,63,13
66764,other,21,7
12676,other,36,5
69292,utility,40,3
33930,other,22,2
24092,other,52,10
55114,other,30,12
26683,social,32,9
54161,other,18,5
16888,utility,69,11
3365,other,113,13
61552,other,34,2
47035,other,21,3
68325,other,118,24
67658,other,19,5
37035,other,16,1
9152,social,62,17
5099,other,5,1
59545,other,95,15
20447,social,7,1
71005,other,30,2
71278,other,21,11
25881,other,13,1
67027,other,39,5
20959,other,18,3
9309,other,16,4
62780,other,30,7
6351,utility,23,13
21964,health,9,1
68145,food,62,8
37416,news,35,7
11636,other,79,6
22114,other,9,1
58719,other,100,21
70926,other,8,2
3228,social,20,2
61688,shopping,85,13
71334,other,115,27
37382,other,55,11
62952,other,32,8
54340,other,4,1
66994,travel,98,16
58615,social,20,4
63509,other,24,1
26600,other,33,8
27870,other,19,4
2074,other,18,1
6200,other,93,8
56429,other,35,7
17277,other,18,5
35475,news,17,1
67497,utility,31,3
12605,social,7,1
66631,other,37,5
41230,other,22,9
24924,social,5,1
23402,finance,34,2
63912,other,24,3
70540,other,13,2
40547,other,17,4
33397,other,15,1
30370,social,23,6
64169,other,68,11
62493,other,19,5
67443,social,20,4
25240,games,9,2
24954,other,49,5
11568,other,184,37
53676,other,36,6
23005,other,24,11
36524,games,98,16
31987,other,27,5
28686,other,41,7
67010,games,22,4
14634,other,28,5
8710,other,50,10
61108,other,36,5
28729,games,43,2
33487,utility,42,8
52356,other,36,12
43773,other,43,13
3660,other,75,21
54932,other,36,9
65680,shopping,34,10
45549,other,18,1
32217,other,55,10
71931,health,32,14
11833,other,55,12
17728,travel,46,15
67820,other,22,5
8941,other,86,10
2752,finance,26,3
22059,news,47,10
48359,other,8,3
8430,other,70,16
27782,utility,55,12
12579,other,45,3
17296,other,34,7
49366,utility,23,1
38903,other,8,3
33151,utility,52,6
58187,utility,24,6
61943,games,18,2
30920,other,26,2
39020,other,18,1
50007,other,26,5
43900,other,83,19
17749,other,52,9
35642,other,33,9
69326,other,76,13
48085,other,46,10
22821,other,71,7
27058,other,73,10
12953,other,40,7
56896,other,91,15
390,productivity,106,63
10100,utility,79,10
44438,other,25,10
70996,other,91,27
63214,other,6,1
45685,other,22,3
55476,other,19,8
57594,other,35,12
72014,other,11,1
59065,other,82,11
58748,utility,44,4
54386,productivity,38,9
2325,news,50,19
34331,other,94,22
38667,other,64,9
1469,other,12,2
7592,other,46,7
53963,other,34,9
70690,other,23,6
32144,other,41,3
51142,other,56,5
30934,travel,5,1
9460,shopping,48,10
65961,other,45,2
1835,other,17,2
57615,utility,48,10
69360,other,19,5
30056,other,44,2
43617,other,22,3
30636,other,99,20
54158,other,95,20
3716,other,68,11
31860,social,32,5
36762,other,14,2
56171,other,86,24
2977,other,28,6
46698,other,39,6
18512,productivity,47,4
22927,utility,20,1
37944,other,10,1
54037,utility,155,28
7202,other,49,9
35261,other,13,2
5480,other,79,4
59463,other,26,5
69525,other,35,8
21755,other,62,23
5062,other,29,6
47630,news,21,6
30096,other,38,8
37016,news,67,16
4628,utility,37,6
65033,other,22,3
10023,utility,61,14
30280,games,25,2
29233,other,18,1
24099,other,128,9
38583,other,21,5
61898,other,43,7
48318,other,123,26
50034,other,93,21
5328,news,94,2
31557,other,36,5
40852,other,52,11
39373,other,34,9
39396,other,15,1
54698,games,54,13
24327,other,94,15
43886,productivity,16,3
41391,other,74,8
62390,other,47,12
69429,other,8,3
8267,travel,60,11
62534,other,61,36
58682,other,106,17
21465,other,25,9
53604,other,46,12
15662,other,27,10
29024,other,65,11
44167,other,60,36
53937,other,90,19
51794,other,18,3
50876,other,34,5
32470,utility,51,15
16267,utility,29,10
6403,other,56,25
7782,other,28,6
59659,utility,34,2
2576,other,77,13
54527,travel,44,3
30715,other,79,12
25058,other,21,6
63218,other,25,3
23377,other,16,4
19900,other,19,4
11613,other,32,21
13071,other,8,2
26388,other,17,3
41509,news,117,15
5036,other,18,5
66075,other,21,4
60777,other,74,21
14878,games,27,7
40242,other,41,10
37552,other,21,2
68450,food,49,2
51579,other,14,2
48030,finance,40,8
23088,food,37,3
57526,other,46,6
56120,games,61,18
35566,other,31,2
42818,other,83,14
36599,other,57,13
26335,other,206,24
19916,other,19,5
53393,other,12,2
55522,other,31,5
10350,other,152,17
68897,other,17,3
59649,utility,37,10
66746,games,22,2
60877,other,94,10
68409,other,28,1
17164,shopping,59,10
61440,other,15,5
38250,other,61,9
24696,other,33,7
21883,other,23,7
63066,other,21,4
8148,other,30,3
56093,other,39,12
44318,travel,35,5
40816,other,18,6
13334,other,52,16
46885,food,19,3
26662,other,51,2
70480,other,23,4
65980,other,134,17
18129,other,51,14
40303,food,89,17
18906,finance,16,2
62894,travel,16,1
4083,other,12,1
5420,games,78,7
45198,social,6,1
46979,other,26,4
49299,shopping,8,3
31175,other,74,14
7662,utility,66,19
59914,other,83,25
68823,other,82,9
3942,other,46,6
50441,social,63,16
63801,other,57,3
57585,other,30,7
68859,other,48,8
43465,other,18,2
38359,utility,20,2
64839,other,18,5
69771,productivity,142,7
46276,other,15,2
39628,utility,13,2
69190,other,80,27
20737,utility,52,9
59181,other,44,8
66815,other,45,9
41482,travel,10,3
39902,other,24,6
27359,other,12,2
5970,finance,36,13
26546,other,23,2
65445,other,55,8
52103,other,11,5
286,other,21,3
60596,other,34,1
61386,other,19,3
44524,other,32,11
42153,travel,70,2
51393,other,11,2
26041,other,231,36
28411,finance,6,1
39235,other,60,4
15183,utility,94,4
57200,other,65,10
29151,other,9,1
2573,other,82,15
28216,other,30,5
3251,other,18,3
31355,other,16,2
68921,other,114,18
45797,other,44,12
15389,other,46,11
19246,utility,36,11
20141,other,30,2
25511,other,111,14
35508,social,28,11
55963,other,38,11
20312,other,101,18
56741,other,34,10
24342,other,22,2
14299,finance,20,1
37578,other,21,4
3711,other,11,3
32200,other,43,1
45949,other,79,12
40915,finance,40,9
37635,other,33,10
14144,other,22,3
23894,other,14,2
64985,other,58,21
37926,other,17,1
35951,other,31,6
69650,finance,15,3
60862,games,7,2
48589,other,25,4
7423,shopping,16,3
56069,other,56,10
